app,keyCount,mouseCount,year,month,day,hour,minute
msedge,0,0,2024,11,05,00,05
msedge,0,4,2024,11,05,00,07
explorer,0,1,2024,11,05,00,07
WeChat,0,20,2024,11,05,00,07
msedge,0,1,2024,11,05,00,08
Clash for Windows,0,1,2024,11,05,00,08
StartMenuExperienceHost,0,1,2024,11,05,00,08
SearchHost,0,1,2024,11,05,00,08
explorer,0,2,2024,11,05,00,08
Code,0,1,2024,11,05,00,08
SysDefault,0,1,2024,11,05,00,08
cloudmusic,0,1,2024,11,05,12,08
MuMuPlayer,0,14,2024,11,05,12,08
QQ,0,4,2024,11,05,12,08
SysDefault,0,4,2024,11,05,12,08
MuMuPlayer,0,62,2024,11,05,12,09
SysDefault,0,1,2024,11,05,12,09
MuMuPlayer,5,70,2024,11,05,12,10
QQ,14,3,2024,11,05,12,10
SysDefault,0,2,2024,11,05,12,10
MuMuPlayer,0,56,2024,11,05,12,11
QQ,0,1,2024,11,05,12,11
SysDefault,0,1,2024,11,05,12,11
MuMuPlayer,0,35,2024,11,05,12,12
ShellExperienceHost,0,3,2024,11,05,12,13
MuMuPlayer,0,15,2024,11,05,12,13
SysDefault,0,2,2024,11,05,12,13
MuMuPlayer,0,42,2024,11,05,12,14
MuMuPlayer,0,39,2024,11,05,12,15
MuMuPlayer,0,16,2024,11,05,12,16
ShellExperienceHost,0,1,2024,11,05,12,17
MuMuPlayer,0,24,2024,11,05,12,17
QQ,8,2,2024,11,05,12,17
SysDefault,0,7,2024,11,05,12,17
MuMuPlayer,0,38,2024,11,05,12,18
MuMuPlayer,0,17,2024,11,05,12,19
MuMuPlayer,0,38,2024,11,05,12,20
MuMuPlayer,0,42,2024,11,05,12,22
MuMuPlayer,0,55,2024,11,05,12,23
MuMuPlayer,0,12,2024,11,05,12,24
MuMuPlayer,0,1,2024,11,05,12,25
MuMuPlayer,0,43,2024,11,05,12,26
MuMuPlayer,0,11,2024,11,05,12,27
MuMuPlayer,0,38,2024,11,05,12,28
MuMuPlayer,0,69,2024,11,05,12,29
MuMuPlayer,0,69,2024,11,05,12,30
MuMuPlayer,0,64,2024,11,05,12,31
MuMuPlayer,0,16,2024,11,05,12,32
MuMuPlayer,0,49,2024,11,05,12,33
MuMuPlayer,0,50,2024,11,05,12,34
MuMuPlayer,0,33,2024,11,05,12,35
MuMuPlayer,0,25,2024,11,05,12,36
MuMuPlayer,0,17,2024,11,05,12,37
MuMuPlayer,0,49,2024,11,05,12,38
MuMuPlayer,0,17,2024,11,05,12,39
MuMuPlayer,0,29,2024,11,05,12,40
MuMuPlayer,0,46,2024,11,05,12,41
MuMuPlayer,0,36,2024,11,05,12,42
QQ,14,86,2024,11,05,12,42
SysDefault,0,5,2024,11,05,12,42
ShellExperienceHost,0,1,2024,11,05,12,43
MuMuPlayer,0,74,2024,11,05,12,43
QQ,48,4,2024,11,05,12,43
SysDefault,0,8,2024,11,05,12,43
MuMuPlayer,0,12,2024,11,05,12,44
SysDefault,0,1,2024,11,05,12,44
MuMuPlayer,0,38,2024,11,05,12,45
MuMuPlayer,0,81,2024,11,05,12,46
MuMuPlayer,0,59,2024,11,05,12,47
MuMuPlayer,0,47,2024,11,05,12,48
MuMuPlayer,0,43,2024,11,05,12,49
MuMuPlayer,0,21,2024,11,05,12,50
MuMuPlayer,0,5,2024,11,05,12,51
MuMuPlayer,0,27,2024,11,05,12,52
MuMuPlayer,0,52,2024,11,05,12,53
MuMuPlayer,0,33,2024,11,05,12,54
MuMuPlayer,0,13,2024,11,05,12,55
MuMuPlayer,0,18,2024,11,05,12,56
MuMuPlayer,0,42,2024,11,05,12,57
MuMuPlayer,0,55,2024,11,05,12,58
MuMuPlayer,0,27,2024,11,05,12,59
MuMuPlayer,0,19,2024,11,05,13,00
MuMuPlayer,0,72,2024,11,05,13,01
MuMuPlayer,0,44,2024,11,05,13,02
MuMuPlayer,0,44,2024,11,05,13,03
MuMuPlayer,0,27,2024,11,05,13,04
MuMuPlayer,0,33,2024,11,05,13,05
StartMenuExperienceHost,0,1,2024,11,05,13,31
explorer,0,1,2024,11,05,13,31
MuMuPlayer,0,3,2024,11,05,13,31
SysDefault,0,1,2024,11,05,13,31
msedge,0,0,2024,11,05,15,46
QQ,35,6,2024,11,05,15,46
SysDefault,0,1,2024,11,05,15,46
msedge,0,1,2024,11,05,15,47
explorer,37,6,2024,11,05,15,47
cloudmusic,0,1,2024,11,05,15,47
QQ,70,1,2024,11,05,15,47
SysDefault,0,5,2024,11,05,15,47
Code,18,7,2024,11,05,15,48
SysDefault,0,1,2024,11,05,15,48
Code,29,35,2024,11,05,15,49
Code,22,6,2024,11,05,15,50
Code,25,0,2024,11,05,15,51
SysDefault,0,1,2024,11,05,15,51
msedge,0,2,2024,11,05,15,52
explorer,0,2,2024,11,05,15,52
Code,0,51,2024,11,05,15,52
SysDefault,0,5,2024,11,05,15,52
msedge,2,1,2024,11,05,15,53
Code,0,61,2024,11,05,15,53
SysDefault,0,1,2024,11,05,15,53
msedge,10,10,2024,11,05,15,55
msedge,0,249,2024,11,05,15,56
QQ,71,2,2024,11,05,15,56
SysDefault,0,39,2024,11,05,15,56
msedge,0,93,2024,11,05,15,57
QQ,0,1,2024,11,05,15,57
SysDefault,0,39,2024,11,05,15,57
msedge,4,30,2024,11,05,15,58
explorer,0,1,2024,11,05,15,58
QQ,0,20,2024,11,05,15,58
SysDefault,0,21,2024,11,05,15,58
msedge,0,1,2024,11,05,15,59
Code,0,4,2024,11,05,15,59
QQ,57,62,2024,11,05,15,59
SysDefault,0,2,2024,11,05,15,59
Code,0,1,2024,11,05,16,00
QQ,6,4,2024,11,05,16,00
SysDefault,0,2,2024,11,05,16,00
msedge,0,21,2024,11,05,16,01
QQ,38,15,2024,11,05,16,01
SysDefault,0,1,2024,11,05,16,01
msedge,0,1,2024,11,05,16,02
ShellExperienceHost,0,1,2024,11,05,16,02
QQ,92,1,2024,11,05,16,02
SysDefault,0,8,2024,11,05,16,02
explorer,0,1,2024,11,05,16,03
Code,0,1,2024,11,05,16,03
QQ,54,18,2024,11,05,16,03
WeChat,1,3,2024,11,05,16,03
SysDefault,0,2,2024,11,05,16,03
msedge,0,3,2024,11,05,16,04
Code,0,1,2024,11,05,16,04
QQ,53,7,2024,11,05,16,04
WeChat,0,3,2024,11,05,16,04
SysDefault,0,4,2024,11,05,16,04
msedge,0,1,2024,11,05,16,05
QQ,10,11,2024,11,05,16,05
SysDefault,0,1,2024,11,05,16,05
Code,0,83,2024,11,05,16,06
SysDefault,0,1,2024,11,05,16,06
msedge,0,4,2024,11,05,16,07
Code,0,0,2024,11,05,16,07
SysDefault,0,2,2024,11,05,16,07
Code,0,1,2024,11,05,16,08
Code,0,5,2024,11,05,16,09
WeChat,37,29,2024,11,05,16,09
SysDefault,0,1,2024,11,05,16,09
Code,0,6,2024,11,05,16,10
explorer,42,6,2024,11,05,16,11
Code,0,1,2024,11,05,16,11
WeChat,43,8,2024,11,05,16,11
wps,17,3,2024,11,05,16,11
SysDefault,0,4,2024,11,05,16,11
msedge,0,41,2024,11,05,16,12
ShellExperienceHost,0,1,2024,11,05,16,12
explorer,0,2,2024,11,05,16,12
Code,0,3,2024,11,05,16,12
WeChat,0,1,2024,11,05,16,12
SysDefault,0,5,2024,11,05,16,12
msedge,0,102,2024,11,05,16,13
msedge,0,0,2024,11,05,16,14
WeChat,0,2,2024,11,05,16,14
SysDefault,0,1,2024,11,05,16,14
explorer,0,1,2024,11,05,16,15
Code,9,48,2024,11,05,16,15
SysDefault,0,1,2024,11,05,16,15
msedge,3,10,2024,11,05,16,16
Code,106,4,2024,11,05,16,16
SysDefault,0,3,2024,11,05,16,16
msedge,8,22,2024,11,05,16,17
Code,14,18,2024,11,05,16,17
msedge,0,20,2024,11,05,16,18
msedge,0,8,2024,11,05,16,19
explorer,0,2,2024,11,05,16,19
Code,69,6,2024,11,05,16,19
SysDefault,0,1,2024,11,05,16,19
msedge,0,45,2024,11,05,16,20
explorer,0,1,2024,11,05,16,20
Code,13,2,2024,11,05,16,20
SysDefault,0,1,2024,11,05,16,20
msedge,0,17,2024,11,05,16,21
Code,51,4,2024,11,05,16,21
SysDefault,0,1,2024,11,05,16,21
msedge,25,5,2024,11,05,16,22
Code,71,14,2024,11,05,16,22
SysDefault,0,1,2024,11,05,16,22
msedge,0,3,2024,11,05,16,23
Code,21,9,2024,11,05,16,23
WeChat,2,2,2024,11,05,16,23
SysDefault,0,2,2024,11,05,16,23
msedge,0,15,2024,11,05,16,24
WeChat,57,1,2024,11,05,16,24
msedge,0,6,2024,11,05,16,25
SysDefault,0,1,2024,11,05,16,25
msedge,22,18,2024,11,05,16,26
Code,23,1,2024,11,05,16,26
WeChat,17,1,2024,11,05,16,26
SysDefault,0,2,2024,11,05,16,26
Code,113,1,2024,11,05,16,27
Code,58,0,2024,11,05,16,28
QQ,0,2,2024,11,05,16,28
SysDefault,0,2,2024,11,05,16,28
msedge,7,5,2024,11,05,16,29
Code,24,3,2024,11,05,16,29
QQ,16,2,2024,11,05,16,29
SysDefault,0,4,2024,11,05,16,29
