keyTime,keyCount,mouseCount,distance,freqType,date
2024092815,889,994,314616,1,2024-09-28
2024092816,449,2315,627671,1,2024-09-28
2024092817,228,1306,799909,1,2024-09-28
2024092818,20,45,76126,1,2024-09-28
2024092819,828,1165,530534,1,2024-09-28
2024092820,4979,555,286170,1,2024-09-28
2024092821,3240,2388,458700,1,2024-09-28
2024092822,1121,1619,728472,1,2024-09-28
2024092823,1360,3233,853758,1,2024-09-28
2024092815,889,994,314616,1,2024-09-28
2024092816,449,2315,627671,1,2024-09-28
2024092817,228,1306,799909,1,2024-09-28
2024092818,20,45,76126,1,2024-09-28
2024092819,828,1165,530534,1,2024-09-28
2024092820,4979,555,286170,1,2024-09-28
2024092821,3240,2388,458700,1,2024-09-28
2024092822,1121,1619,728472,1,2024-09-28
2024092823,1360,3233,853758,1,2024-09-28
2024092900,38,765,244594,1,2024-09-29
2024092912,1617,2026,540384,1,2024-09-29
2024092913,123,1038,296709,1,2024-09-29
2024092914,1428,1286,245657,1,2024-09-29
2024092915,1320,2396,531518,1,2024-09-29
2024092916,2587,660,459992,1,2024-09-29
2024092917,838,305,133269,1,2024-09-29
2024092918,2169,1609,471431,1,2024-09-29
2024092919,5311,3513,904390,1,2024-09-29
2024092920,100,431,393193,1,2024-09-29
2024092922,703,1491,773394,1,2024-09-29
2024092923,16,1606,1172179,1,2024-09-29
2024092900,38,765,244594,1,2024-09-29
2024092912,1617,2026,540384,1,2024-09-29
2024092913,123,1038,296709,1,2024-09-29
2024092914,1428,1286,245657,1,2024-09-29
2024092915,1320,2396,531518,1,2024-09-29
2024092916,2587,660,459992,1,2024-09-29
2024092917,838,305,133269,1,2024-09-29
2024092918,2169,1609,471431,1,2024-09-29
2024092919,5311,3513,904390,1,2024-09-29
2024092920,100,431,393193,1,2024-09-29
2024092922,703,1491,773394,1,2024-09-29
2024092923,16,1606,1172179,1,2024-09-29
2024093000,2,4,2179,1,2024-09-30
2024093009,96,311,242666,1,2024-09-30
2024093010,101,1241,402163,1,2024-09-30
2024093011,60,539,156332,1,2024-09-30
2024093012,104,395,159095,1,2024-09-30
2024093016,24,474,177322,1,2024-09-30
2024093017,221,233,55541,1,2024-09-30
2024093018,2576,909,532478,1,2024-09-30
2024093019,2833,2253,744783,1,2024-09-30
2024093020,893,1155,426341,1,2024-09-30
2024093021,91,1351,457607,1,2024-09-30
2024093022,1030,3495,925764,1,2024-09-30
2024093023,0,7,9079,1,2024-09-30
2024093000,2,4,2179,1,2024-09-30
2024093009,96,311,242666,1,2024-09-30
2024093010,101,1241,402163,1,2024-09-30
2024093011,60,539,156332,1,2024-09-30
2024093012,104,395,159095,1,2024-09-30
2024093016,24,474,177322,1,2024-09-30
2024093017,221,233,55541,1,2024-09-30
2024093018,2576,909,532478,1,2024-09-30
2024093019,2833,2253,744783,1,2024-09-30
2024093020,893,1155,426341,1,2024-09-30
2024093021,91,1351,457607,1,2024-09-30
2024093022,1030,3495,925764,1,2024-09-30
2024093023,0,34,18514,1,2024-09-30
2024100120,120,397,100508,1,2024-10-01
2024100121,100,539,176116,1,2024-10-01
2024100122,114,96,40894,1,2024-10-01
2024100123,0,249,160492,1,2024-10-01
2024100120,120,397,100508,1,2024-10-01
2024100121,100,539,176116,1,2024-10-01
2024100122,114,96,40894,1,2024-10-01
2024100123,0,249,160492,1,2024-10-01
2024100200,0,3,2921,1,2024-10-02
2024100209,4,59,69727,1,2024-10-02
