keyCount,mouseCount,distance,year,month,day,hour
889,994,314616,2024,09,28,15
449,2315,627671,2024,09,28,16
228,1306,799909,2024,09,28,17
20,45,76126,2024,09,28,18
828,1165,530534,2024,09,28,19
4979,555,286170,2024,09,28,20
3240,2388,458700,2024,09,28,21
1121,1619,728472,2024,09,28,22
1360,3233,853758,2024,09,28,23
38,765,244594,2024,09,29,00
1617,2026,540384,2024,09,29,12
123,1038,296709,2024,09,29,13
1428,1286,245657,2024,09,29,14
1320,2396,531518,2024,09,29,15
2587,660,459992,2024,09,29,16
838,305,133269,2024,09,29,17
2169,1609,471431,2024,09,29,18
5311,3513,904390,2024,09,29,19
100,431,393193,2024,09,29,20
703,1491,773394,2024,09,29,22
16,1606,1172179,2024,09,29,23
2,4,2179,2024,09,30,00
96,311,242666,2024,09,30,09
101,1241,402163,2024,09,30,10
60,539,156332,2024,09,30,11
104,395,159095,2024,09,30,12
24,474,177322,2024,09,30,16
221,233,55541,2024,09,30,17
2576,909,532478,2024,09,30,18
2833,2253,744783,2024,09,30,19
893,1155,426341,2024,09,30,20
91,1351,457607,2024,09,30,21
1030,3495,925764,2024,09,30,22
0,7,9079,2024,09,30,23
0,34,18514,2024,09,30,23
120,397,100508,2024,10,01,20
100,539,176116,2024,10,01,21
114,96,40894,2024,10,01,22
0,249,160492,2024,10,01,23
0,3,2921,2024,10,02,00
4,59,69727,2024,10,02,09
1541,2639,941917,2024,10,02,10
2561,2460,677569,2024,10,02,11
1112,2675,1045106,2024,10,02,12
1260,2420,1075666,2024,10,02,13
114,99,75597,2024,10,02,14
358,1208,371512,2024,10,02,15
1154,1582,357082,2024,10,02,16
1099,1925,659465,2024,10,02,17
2461,1211,343774,2024,10,02,18
380,1673,406167,2024,10,02,19
468,55,54703,2024,10,02,20
1401,510,251339,2024,10,02,21
519,1334,449324,2024,10,02,22
44,1941,975237,2024,10,02,23
44,2004,987779,2024,10,02,23
6,149,94978,2024,10,03,08
1140,2147,654373,2024,10,03,09
574,1013,422221,2024,10,03,10
16,1092,564864,2024,10,03,14
20,431,178512,2024,10,03,15
448,1296,497349,2024,10,03,17
4269,1381,684727,2024,10,03,18
451,1205,319488,2024,10,03,19
1972,2534,627886,2024,10,03,20
3278,1201,309444,2024,10,03,21
2161,1105,234564,2024,10,03,22
19,26,17815,2024,10,03,23
19,37,29875,2024,10,03,23
959,1436,380388,2024,10,04,09
3462,1138,252769,2024,10,04,10
1972,1493,388573,2024,10,04,11
185,334,132646,2024,10,04,13
2666,1076,313536,2024,10,04,14
269,1781,664184,2024,10,04,16
523,2070,658845,2024,10,04,17
0,0,1,2024,10,04,18
370,430,168597,2024,10,04,19
3820,1344,481074,2024,10,04,20
817,1295,297122,2024,10,04,21
974,1963,603669,2024,10,04,22
847,3136,967455,2024,10,04,23
121,283,142466,2024,10,05,00
10,1,1754,2024,10,05,09
36,1555,634513,2024,10,05,10
426,361,96137,2024,10,05,13
2288,981,202107,2024,10,05,14
2160,984,356049,2024,10,05,15
1873,805,367770,2024,10,05,16
904,1790,961576,2024,10,05,17
34,1217,340638,2024,10,05,20
693,1121,545629,2024,10,05,21
929,528,74572,2024,10,05,22
17,1977,858329,2024,10,05,23
1263,1717,704936,2024,10,06,00
106,378,131182,2024,10,06,01
53,332,191109,2024,10,06,10
437,1328,386242,2024,10,06,11
633,1718,602850,2024,10,06,12
561,1386,446934,2024,10,06,13
847,1982,913559,2024,10,06,14
877,1874,564173,2024,10,06,15
3172,872,482888,2024,10,06,16
7929,1297,663900,2024,10,06,17
10794,1659,623947,2024,10,06,18
12074,1150,487836,2024,10,06,19
1726,841,303835,2024,10,06,20
317,776,278007,2024,10,06,21
130,469,135059,2024,10,06,23
130,470,135100,2024,10,06,23
1592,66,70705,2024,10,07,10
7884,251,272751,2024,10,07,11
6777,379,352277,2024,10,07,12
1706,97,88864,2024,10,07,13
1215,67,77793,2024,10,07,15
2988,174,222760,2024,10,07,16
6830,185,211476,2024,10,07,17
6948,200,214769,2024,10,07,18
0,8,7140,2024,10,07,22
540,846,512870,2024,10,07,23
540,857,524575,2024,10,07,23
3070,1690,706657,2024,10,08,12
603,362,190847,2024,10,08,15
2077,2483,1241345,2024,10,08,18
3307,2375,985603,2024,10,08,19
49,517,164823,2024,10,08,20
966,1502,421616,2024,10,08,21
1500,2319,1337669,2024,10,08,22
1459,2687,1486901,2024,10,08,23
5684,670,198540,2024,10,09,00
52,552,335631,2024,10,09,08
783,927,430408,2024,10,09,09
2924,2170,923436,2024,10,09,10
803,778,168697,2024,10,09,11
0,7,5242,2024,10,09,12
887,928,371635,2024,10,09,13
3511,1454,587334,2024,10,09,14
3546,1506,482817,2024,10,09,15
2915,1476,865260,2024,10,09,16
1610,720,336857,2024,10,09,17
4768,1818,576746,2024,10,09,18
3397,1001,564379,2024,10,09,19
3755,1812,666769,2024,10,09,20
69,81,56341,2024,10,09,21
1566,1586,1071563,2024,10,09,22
824,1626,1048084,2024,10,09,23
561,375,397383,2024,10,10,00
693,877,468594,2024,10,10,12
68,29,16806,2024,10,10,13
