keyCount,mouseCount,distance,year,month,day,hour,minute
0,0,1,2024,11,05,00,05
0,25,13703,2024,11,05,00,07
0,8,10619,2024,11,05,00,08
0,23,19297,2024,11,05,12,08
0,63,63030,2024,11,05,12,09
19,74,60824,2024,11,05,12,10
0,59,66107,2024,11,05,12,11
0,34,43418,2024,11,05,12,12
0,20,14131,2024,11,05,12,13
0,43,37408,2024,11,05,12,14
0,38,47273,2024,11,05,12,15
0,17,22131,2024,11,05,12,16
8,34,33427,2024,11,05,12,17
0,37,20299,2024,11,05,12,18
0,17,6332,2024,11,05,12,19
0,38,17611,2024,11,05,12,20
0,42,22992,2024,11,05,12,22
0,55,48386,2024,11,05,12,23
0,12,14146,2024,11,05,12,24
0,1,1345,2024,11,05,12,25
0,43,44764,2024,11,05,12,26
0,11,15109,2024,11,05,12,27
0,39,32386,2024,11,05,12,28
0,68,55292,2024,11,05,12,29
0,70,49050,2024,11,05,12,30
0,64,60318,2024,11,05,12,31
0,15,17730,2024,11,05,12,32
0,50,38316,2024,11,05,12,33
0,50,40228,2024,11,05,12,34
0,33,31345,2024,11,05,12,35
0,24,31920,2024,11,05,12,36
0,18,22303,2024,11,05,12,37
0,48,40693,2024,11,05,12,38
0,17,17151,2024,11,05,12,39
0,30,18673,2024,11,05,12,40
0,46,34053,2024,11,05,12,41
14,126,38834,2024,11,05,12,42
48,88,23186,2024,11,05,12,43
0,12,7083,2024,11,05,12,44
0,39,13919,2024,11,05,12,45
0,81,29988,2024,11,05,12,46
0,59,34863,2024,11,05,12,47
0,47,36911,2024,11,05,12,48
0,43,22389,2024,11,05,12,49
0,20,12465,2024,11,05,12,50
0,5,4987,2024,11,05,12,51
0,28,18433,2024,11,05,12,52
0,52,20740,2024,11,05,12,53
0,33,23198,2024,11,05,12,54
0,12,12038,2024,11,05,12,55
0,18,12087,2024,11,05,12,56
0,42,20119,2024,11,05,12,57
0,56,25063,2024,11,05,12,58
0,26,31594,2024,11,05,12,59
0,20,4870,2024,11,05,13,00
0,72,24427,2024,11,05,13,01
0,43,20986,2024,11,05,13,02
0,44,36659,2024,11,05,13,03
0,27,42835,2024,11,05,13,04
0,33,32050,2024,11,05,13,05
0,6,4816,2024,11,05,13,31
36,7,5946,2024,11,05,15,46
106,14,23775,2024,11,05,15,47
18,9,19454,2024,11,05,15,48
29,34,15073,2024,11,05,15,49
22,6,2028,2024,11,05,15,50
25,1,5080,2024,11,05,15,51
0,61,18835,2024,11,05,15,52
2,62,5232,2024,11,05,15,53
10,10,12364,2024,11,05,15,55
71,291,20015,2024,11,05,15,56
0,132,17335,2024,11,05,15,57
4,72,30614,2024,11,05,15,58
57,69,8535,2024,11,05,15,59
7,7,8146,2024,11,05,16,00
37,37,14937,2024,11,05,16,01
92,11,14763,2024,11,05,16,02
55,25,16817,2024,11,05,16,03
53,18,21506,2024,11,05,16,04
10,13,16487,2024,11,05,16,05
0,84,12617,2024,11,05,16,06
0,6,9045,2024,11,05,16,07
0,1,839,2024,11,05,16,08
37,35,15081,2024,11,05,16,09
0,6,2978,2024,11,05,16,10
102,23,19000,2024,11,05,16,11
0,52,24062,2024,11,05,16,12
0,102,10920,2024,11,05,16,13
