app,type,keycount,year,month,day
msedge,Key,342,2024,09,28
WindowsTerminal,Key,31,2024,09,28
WeChatAppEx,Key,4,2024,09,28
explorer,Key,9,2024,09,28
steamwebhelper,Key,463,2024,09,28
Card Shop Simulator,Key,2343,2024,09,28
devcpp,Key,5795,2024,09,28
Feishu,Key,39,2024,09,28
QQ,Key,477,2024,09,28
WeChat,Key,52,2024,09,28
copytranslator,Key,63,2024,09,28
Typora,Key,689,2024,09,28
et,Key,16,2024,09,28
wps,Key,2787,2024,09,28
SysDefault,Key,4,2024,09,28
msedge,Mouse,3747,2024,09,28
HipsTray,Mouse,1,2024,09,28
WindowsTerminal,Mouse,69,2024,09,28
WeChatAppEx,Mouse,30,2024,09,28
ShellExperienceHost,Mouse,7,2024,09,28
explorer,Mouse,167,2024,09,28
cloudmusic,Mouse,35,2024,09,28
MuMuPlayer,Mouse,635,2024,09,28
steamwebhelper,Mouse,20,2024,09,28
Card Shop Simulator,Mouse,1769,2024,09,28
devcpp,Mouse,256,2024,09,28
Feishu,Mouse,135,2024,09,28
QQ,Mouse,227,2024,09,28
WeChat,Mouse,675,2024,09,28
copytranslator,Mouse,493,2024,09,28
Typora,Mouse,118,2024,09,28
et,Mouse,7,2024,09,28
wps,Mouse,4844,2024,09,28
wpspdf,Mouse,1,2024,09,28
SysDefault,Mouse,388,2024,09,28
msedge,Key,2961,2024,09,29
ApplicationFrameHost,Key,18,2024,09,29
LockApp,Key,2,2024,09,29
ShellExperienceHost,Key,1,2024,09,29
explorer,Key,18,2024,09,29
Card Shop Simulator,Key,1616,2024,09,29
Code,Key,4118,2024,09,29
Feishu,Key,43,2024,09,29
QQ,Key,1402,2024,09,29
WeChat,Key,1112,2024,09,29
copytranslator,Key,1,2024,09,29
Typora,Key,3750,2024,09,29
et,Key,1,2024,09,29
wps,Key,1081,2024,09,29
TickTick,Key,163,2024,09,29
SysDefault,Key,2,2024,09,29
msedge,Mouse,5954,2024,09,29
HipsMain,Mouse,8,2024,09,29
HipsTray,Mouse,2,2024,09,29
PopBlock,Mouse,5,2024,09,29
WeChatAppEx,Mouse,2,2024,09,29
ApplicationFrameHost,Mouse,65,2024,09,29
LockApp,Mouse,2,2024,09,29
StartMenuExperienceHost,Mouse,3,2024,09,29
SearchHost,Mouse,2,2024,09,29
ShellExperienceHost,Mouse,11,2024,09,29
