keyname,keycount,year,month,day
',24,2024,09,28
",",101,2024,09,28
-,40,2024,09,28
.,40,2024,09,28
/,11,2024,09,28
0,123,2024,09,28
1,302,2024,09,28
2,71,2024,09,28
3,44,2024,09,28
4,13,2024,09,28
5,41,2024,09,28
6,10,2024,09,28
7,27,2024,09,28
8,16,2024,09,28
9,98,2024,09,28
;,125,2024,09,28
<+',17,2024,09,28
"<+,",37,2024,09,28
<+-,2,2024,09,28
<+.,4,2024,09,28
<+/,5,2024,09,28
<+0,13,2024,09,28
<+1,3,2024,09,28
<+3,13,2024,09,28
<+5,24,2024,09,28
<+7,16,2024,09,28
<+8,5,2024,09,28
<+9,87,2024,09,28
<+;,3,2024,09,28
<+=,71,2024,09,28
<+Backspace,2,2024,09,28
<+Enter,24,2024,09,28
<+Left,13,2024,09,28
<+Space,52,2024,09,28
<+Up,6,2024,09,28
<+[,31,2024,09,28
<+],2,2024,09,28
<+a,86,2024,09,28
<+b,2,2024,09,28
<+c,30,2024,09,28
<+d,29,2024,09,28
<+e,7,2024,09,28
<+f,7,2024,09,28
<+g,1,2024,09,28
<+i,2,2024,09,28
<+l,4,2024,09,28
<+m,7,2024,09,28
<+n,1,2024,09,28
<+o,27,2024,09,28
<+p,8,2024,09,28
<+r,3,2024,09,28
<+s,15,2024,09,28
<+t,13,2024,09,28
<+u,3,2024,09,28
<+v,7,2024,09,28
<+w,68,2024,09,28
<+x,1,2024,09,28
<+z,1,2024,09,28
<^/,4,2024,09,28
<^<!a,1,2024,09,28
<^Enter,1,2024,09,28
<^a,22,2024,09,28
<^c,156,2024,09,28
<^f,9,2024,09,28
<^n,7,2024,09,28
<^s,17,2024,09,28
<^v,158,2024,09,28
<^x,4,2024,09,28
<^z,4,2024,09,28
=,163,2024,09,28
Backspace,772,2024,09,28
Down,301,2024,09,28
Enter,289,2024,09,28
Escape,6,2024,09,28
F11,8,2024,09,28
F12,1,2024,09,28
F22,5,2024,09,28
LAlt,1,2024,09,28
LButton,4814,2024,09,28
LControl,445,2024,09,28
LShift,847,2024,09,28
Left,382,2024,09,28
Media_Play_Pause,3,2024,09,28
Numlock,1,2024,09,28
NumpadLeft,1,2024,09,28
RAlt,30,2024,09,28
RButton,99,2024,09,28
RShift,2,2024,09,28
Right,858,2024,09,28
Space,369,2024,09,28
Tab,72,2024,09,28
Up,285,2024,09,28
WheelDown,4947,2024,09,28
WheelUp,3764,2024,09,28
[,125,2024,09,28
\,7,2024,09,28
],5,2024,09,28
`,13,2024,09,28
a,638,2024,09,28
b,61,2024,09,28
c,258,2024,09,28
d,491,2024,09,28
e,218,2024,09,28
f,121,2024,09,28
g,106,2024,09,28
h,107,2024,09,28
i,465,2024,09,28
j,74,2024,09,28
k,24,2024,09,28
l,156,2024,09,28
m,77,2024,09,28
n,346,2024,09,28
o,175,2024,09,28
p,52,2024,09,28
q,18,2024,09,28
r,103,2024,09,28
s,239,2024,09,28
t,152,2024,09,28
u,165,2024,09,28
v,184,2024,09,28
w,667,2024,09,28
x,57,2024,09,28
y,56,2024,09,28
z,41,2024,09,28
',31,2024,09,29
",",35,2024,09,29
-,74,2024,09,29
.,43,2024,09,29
/,24,2024,09,29
0,32,2024,09,29
1,623,2024,09,29
2,56,2024,09,29
3,27,2024,09,29
4,11,2024,09,29
5,4,2024,09,29
6,2,2024,09,29
7,3,2024,09,29
8,7,2024,09,29
9,57,2024,09,29
;,21,2024,09,29
<+',5,2024,09,29
<+-,37,2024,09,29
<+.,3,2024,09,29
<+/,5,2024,09,29
<+0,17,2024,09,29
<+2,2,2024,09,29
<+3,12,2024,09,29
<+8,4,2024,09,29
<+9,50,2024,09,29
<+;,17,2024,09,29
<+=,4,2024,09,29
<+Down,35,2024,09,29
<+Left,35,2024,09,29
<+Right,13,2024,09,29
<+Space,33,2024,09,29
<+Tab,1,2024,09,29
<+Up,7,2024,09,29
<+[,2,2024,09,29
<+a,51,2024,09,29
<+b,4,2024,09,29
<+c,8,2024,09,29
<+d,26,2024,09,29
<+f,3,2024,09,29
<+g,2,2024,09,29
<+i,1,2024,09,29
<+l,6,2024,09,29
<+m,5,2024,09,29
<+n,2,2024,09,29
<+p,13,2024,09,29
<+r,10,2024,09,29
<+s,9,2024,09,29
<+t,11,2024,09,29
<+u,1,2024,09,29
<+w,33,2024,09,29
<+x,13,2024,09,29
<+y,14,2024,09,29
<^/,17,2024,09,29
<^<!a,4,2024,09,29
<^<!s,2,2024,09,29
<^a,6,2024,09,29
<^c,69,2024,09,29
<^f,4,2024,09,29
<^s,65,2024,09,29
<^v,99,2024,09,29
<^x,10,2024,09,29
<^z,47,2024,09,29
=,32,2024,09,29
Backspace,1229,2024,09,29
CapsLock,2,2024,09,29
Down,2345,2024,09,29
Enter,380,2024,09,29
Escape,1,2024,09,29
F22,2,2024,09,29
LAlt,7,2024,09,29
LButton,6895,2024,09,29
LControl,350,2024,09,29
LShift,600,2024,09,29
Left,642,2024,09,29
MButton,4,2024,09,29
NumpadLeft,1,2024,09,29
NumpadRight,1,2024,09,29
NumpadUp,1,2024,09,29
RAlt,2,2024,09,29
RButton,122,2024,09,29
RControl,1,2024,09,29
RShift,1,2024,09,29
Right,758,2024,09,29
Space,241,2024,09,29
Tab,81,2024,09,29
Up,541,2024,09,29
WheelDown,5583,2024,09,29
WheelUp,4595,2024,09,29
[,11,2024,09,29
\,10,2024,09,29
],4,2024,09,29
`,8,2024,09,29
a,791,2024,09,29
b,103,2024,09,29
c,155,2024,09,29
d,407,2024,09,29
e,464,2024,09,29
f,78,2024,09,29
g,263,2024,09,29
h,338,2024,09,29
i,661,2024,09,29
j,124,2024,09,29
k,67,2024,09,29
l,152,2024,09,29
m,68,2024,09,29
n,522,2024,09,29
o,287,2024,09,29
p,74,2024,09,29
q,58,2024,09,29
r,109,2024,09,29
s,399,2024,09,29
sc000,1,2024,09,29
sc178,1,2024,09,29
t,127,2024,09,29
u,348,2024,09,29
v,112,2024,09,29
w,419,2024,09,29
x,106,2024,09,29
y,176,2024,09,29
z,186,2024,09,29
',1,2024,09,30
",",2,2024,09,30
-,7,2024,09,30
.,25,2024,09,30
/,13,2024,09,30
0,14,2024,09,30
1,649,2024,09,30
2,64,2024,09,30
3,18,2024,09,30
4,13,2024,09,30
5,9,2024,09,30
6,8,2024,09,30
7,5,2024,09,30
8,7,2024,09,30
9,16,2024,09,30
;,1,2024,09,30
<+-,1,2024,09,30
<+.,1,2024,09,30
<+/,6,2024,09,30
<+0,1,2024,09,30
<+1,1,2024,09,30
<+3,2,2024,09,30
<+9,13,2024,09,30
<+d,3,2024,09,30
<+e,1,2024,09,30
<+g,5,2024,09,30
<+i,3,2024,09,30
<+j,1,2024,09,30
<+m,4,2024,09,30
<+p,1,2024,09,30
<+x,3,2024,09,30
<^/,2,2024,09,30
<^<!a,12,2024,09,30
<^Right,3,2024,09,30
<^a,1,2024,09,30
<^c,10,2024,09,30
<^s,27,2024,09,30
<^v,43,2024,09,30
<^x,6,2024,09,30
<^z,10,2024,09,30
=,9,2024,09,30
Backspace,773,2024,09,30
Down,30,2024,09,30
Enter,339,2024,09,30
F22,18,2024,09,30
LAlt,13,2024,09,30
LButton,3955,2024,09,30
LControl,134,2024,09,30
LShift,53,2024,09,30
Left,114,2024,09,30
Media_Play_Pause,3,2024,09,30
NumpadEnd,1,2024,09,30
NumpadLeft,1,2024,09,30
RButton,90,2024,09,30
Right,96,2024,09,30
Space,66,2024,09,30
Tab,11,2024,09,30
Up,27,2024,09,30
WheelDown,4559,2024,09,30
WheelUp,3772,2024,09,30
[,2,2024,09,30
\,2,2024,09,30
],1,2024,09,30
`,6,2024,09,30
a,584,2024,09,30
b,97,2024,09,30
c,76,2024,09,30
d,164,2024,09,30
e,362,2024,09,30
f,25,2024,09,30
g,270,2024,09,30
h,307,2024,09,30
i,650,2024,09,30
j,118,2024,09,30
k,36,2024,09,30
l,140,2024,09,30
m,96,2024,09,30
n,541,2024,09,30
o,350,2024,09,30
p,94,2024,09,30
q,27,2024,09,30
r,70,2024,09,30
s,187,2024,09,30
sc000,1,2024,09,30
t,98,2024,09,30
u,319,2024,09,30
v,49,2024,09,30
w,110,2024,09,30
x,98,2024,09,30
y,146,2024,09,30
z,149,2024,09,30
.,1,2024,10,01
/,4,2024,10,01
0,3,2024,10,01
1,40,2024,10,01
2,4,2024,10,01
3,6,2024,10,01
4,2,2024,10,01
5,2,2024,10,01
6,1,2024,10,01
7,1,2024,10,01
8,5,2024,10,01
9,5,2024,10,01
<+/,3,2024,10,01
<+2,1,2024,10,01
<+3,1,2024,10,01
<+z,1,2024,10,01
<^<!a,1,2024,10,01
<^v,2,2024,10,01
Backspace,10,2024,10,01
Enter,16,2024,10,01
LAlt,1,2024,10,01
LButton,526,2024,10,01
LControl,6,2024,10,01
LShift,7,2024,10,01
RButton,1,2024,10,01
WheelDown,470,2024,10,01
WheelUp,288,2024,10,01
a,30,2024,10,01
b,2,2024,10,01
c,6,2024,10,01
d,4,2024,10,01
e,12,2024,10,01
f,2,2024,10,01
g,5,2024,10,01
h,13,2024,10,01
i,25,2024,10,01
j,2,2024,10,01
k,4,2024,10,01
l,8,2024,10,01
m,9,2024,10,01
n,14,2024,10,01
o,20,2024,10,01
p,2,2024,10,01
q,5,2024,10,01
r,1,2024,10,01
s,3,2024,10,01
t,1,2024,10,01
u,11,2024,10,01
v,2,2024,10,01
w,5,2024,10,01
x,1,2024,10,01
y,4,2024,10,01
z,11,2024,10,01
',16,2024,10,02
",",50,2024,10,02
-,22,2024,10,02
.,30,2024,10,02
/,8,2024,10,02
0,47,2024,10,02
1,790,2024,10,02
2,99,2024,10,02
3,50,2024,10,02
4,37,2024,10,02
5,6,2024,10,02
6,23,2024,10,02
7,16,2024,10,02
8,14,2024,10,02
9,20,2024,10,02
;,7,2024,10,02
<#q,1,2024,10,02
<#r,6,2024,10,02
<+',4,2024,10,02
<+-,5,2024,10,02
<+/,3,2024,10,02
<+0,3,2024,10,02
<+1,1,2024,10,02
<+3,1,2024,10,02
<+4,19,2024,10,02
<+5,2,2024,10,02
<+6,2,2024,10,02
<+8,5,2024,10,02
<+9,17,2024,10,02
<+;,6,2024,10,02
<+=,2,2024,10,02
<+Backspace,1,2024,10,02
<+CapsLock,1,2024,10,02
<+Down,9,2024,10,02
<+Enter,1,2024,10,02
<+Left,23,2024,10,02
<+Right,30,2024,10,02
<+Up,9,2024,10,02
<+`,9,2024,10,02
<+a,5,2024,10,02
<+b,7,2024,10,02
<+c,9,2024,10,02
<+d,18,2024,10,02
<+e,2,2024,10,02
<+f,20,2024,10,02
<+g,2,2024,10,02
<+h,1,2024,10,02
<+i,3,2024,10,02
<+l,22,2024,10,02
<+m,2,2024,10,02
<+n,1,2024,10,02
<+o,2,2024,10,02
<+p,2,2024,10,02
<+q,4,2024,10,02
<+r,8,2024,10,02
<+s,51,2024,10,02
<+t,30,2024,10,02
<+v,1,2024,10,02
<+x,6,2024,10,02
<+z,1,2024,10,02
<^/,5,2024,10,02
<^<!NumpadDel,4,2024,10,02
<^<!a,1,2024,10,02
<^<+p,1,2024,10,02
<^a,3,2024,10,02
<^c,74,2024,10,02
<^f,7,2024,10,02
<^s,49,2024,10,02
<^v,109,2024,10,02
<^x,21,2024,10,02
<^z,14,2024,10,02
=,8,2024,10,02
Backspace,1389,2024,10,02
CapsLock,4,2024,10,02
Delete,1,2024,10,02
Down,232,2024,10,02
Enter,450,2024,10,02
F22,2,2024,10,02
F5,10,2024,10,02
F7,10,2024,10,02
LAlt,5,2024,10,02
LButton,7299,2024,10,02
LControl,312,2024,10,02
LShift,417,2024,10,02
LWin,11,2024,10,02
Left,609,2024,10,02
Numlock,2,2024,10,02
Numpad4,1,2024,10,02
NumpadDel,4,2024,10,02
NumpadHome,2,2024,10,02
NumpadIns,1,2024,10,02
NumpadLeft,9,2024,10,02
NumpadPgDn,1,2024,10,02
RAlt,25,2024,10,02
RButton,164,2024,10,02
RShift,2,2024,10,02
Right,967,2024,10,02
Space,162,2024,10,02
Tab,4,2024,10,02
Up,178,2024,10,02
WheelDown,9406,2024,10,02
WheelUp,4990,2024,10,02
\,29,2024,10,02
],1,2024,10,02
`,18,2024,10,02
a,706,2024,10,02
b,98,2024,10,02
c,302,2024,10,02
d,309,2024,10,02
e,514,2024,10,02
f,78,2024,10,02
g,356,2024,10,02
h,354,2024,10,02
i,842,2024,10,02
j,167,2024,10,02
k,38,2024,10,02
l,161,2024,10,02
m,70,2024,10,02
n,740,2024,10,02
o,426,2024,10,02
p,75,2024,10,02
q,88,2024,10,02
r,107,2024,10,02
s,332,2024,10,02
sc178,2,2024,10,02
t,208,2024,10,02
u,476,2024,10,02
v,166,2024,10,02
w,90,2024,10,02
x,163,2024,10,02
y,218,2024,10,02
z,165,2024,10,02
",",81,2024,10,03
-,2,2024,10,03
.,44,2024,10,03
/,18,2024,10,03
0,29,2024,10,03
1,1014,2024,10,03
2,86,2024,10,03
3,29,2024,10,03
4,53,2024,10,03
5,10,2024,10,03
6,19,2024,10,03
7,8,2024,10,03
8,2,2024,10,03
9,2,2024,10,03
;,10,2024,10,03
<+/,3,2024,10,03
<+0,1,2024,10,03
<+4,26,2024,10,03
<+9,2,2024,10,03
<+;,8,2024,10,03
<+Backspace,1,2024,10,03
<+Down,5,2024,10,03
<+Enter,1,2024,10,03
<+Left,24,2024,10,03
<+Right,42,2024,10,03
<+Up,1,2024,10,03
<+[,5,2024,10,03
<+\,2,2024,10,03
<+],7,2024,10,03
<+a,7,2024,10,03
<+d,29,2024,10,03
<+e,12,2024,10,03
<+f,14,2024,10,03
<+g,1,2024,10,03
<+h,2,2024,10,03
<+i,1,2024,10,03
<+l,20,2024,10,03
<+m,3,2024,10,03
<+o,4,2024,10,03
<+p,3,2024,10,03
<+q,2,2024,10,03
<+r,1,2024,10,03
<+s,31,2024,10,03
<+t,21,2024,10,03
<+x,6,2024,10,03
<^/,15,2024,10,03
<^<!NumpadDel,1,2024,10,03
<^a,3,2024,10,03
<^c,39,2024,10,03
<^s,62,2024,10,03
<^v,66,2024,10,03
<^x,12,2024,10,03
<^z,8,2024,10,03
=,5,2024,10,03
>+Enter,1,2024,10,03
Backspace,1230,2024,10,03
CapsLock,2,2024,10,03
Down,247,2024,10,03
Enter,219,2024,10,03
F22,2,2024,10,03
LAlt,1,2024,10,03
LButton,6702,2024,10,03
LControl,224,2024,10,03
LShift,333,2024,10,03
Left,804,2024,10,03
Numlock,1,2024,10,03
NumpadDel,1,2024,10,03
NumpadLeft,1,2024,10,03
NumpadPgUp,1,2024,10,03
RButton,49,2024,10,03
RShift,2,2024,10,03
Right,1572,2024,10,03
Space,11,2024,10,03
Up,188,2024,10,03
WheelDown,3602,2024,10,03
WheelUp,3238,2024,10,03
[,6,2024,10,03
\,40,2024,10,03
],8,2024,10,03
a,640,2024,10,03
b,129,2024,10,03
c,164,2024,10,03
d,284,2024,10,03
e,599,2024,10,03
f,67,2024,10,03
g,443,2024,10,03
h,447,2024,10,03
i,916,2024,10,03
j,175,2024,10,03
k,51,2024,10,03
l,163,2024,10,03
m,101,2024,10,03
n,727,2024,10,03
o,401,2024,10,03
p,33,2024,10,03
q,58,2024,10,03
r,79,2024,10,03
s,332,2024,10,03
sc000,1,2024,10,03
t,97,2024,10,03
u,533,2024,10,03
v,74,2024,10,03
w,91,2024,10,03
x,200,2024,10,03
y,223,2024,10,03
z,169,2024,10,03
",",64,2024,10,04
-,5,2024,10,04
.,57,2024,10,04
/,24,2024,10,04
0,59,2024,10,04
1,995,2024,10,04
2,90,2024,10,04
3,36,2024,10,04
4,41,2024,10,04
5,31,2024,10,04
6,27,2024,10,04
7,24,2024,10,04
8,14,2024,10,04
9,34,2024,10,04
;,18,2024,10,04
<+.,1,2024,10,04
<+/,5,2024,10,04
<+0,15,2024,10,04
<+3,1,2024,10,04
<+4,12,2024,10,04
<+5,2,2024,10,04
<+7,1,2024,10,04
<+9,20,2024,10,04
<+;,15,2024,10,04
<+=,6,2024,10,04
<+Down,12,2024,10,04
<+Enter,2,2024,10,04
<+Left,44,2024,10,04
<+Right,43,2024,10,04
<+Up,4,2024,10,04
<+[,1,2024,10,04
<+\,1,2024,10,04
<+],4,2024,10,04
<+a,17,2024,10,04
<+b,1,2024,10,04
<+c,12,2024,10,04
<+d,21,2024,10,04
<+e,11,2024,10,04
<+f,19,2024,10,04
<+g,2,2024,10,04
<+h,1,2024,10,04
<+i,5,2024,10,04
<+l,19,2024,10,04
<+m,6,2024,10,04
<+n,3,2024,10,04
<+o,18,2024,10,04
<+p,9,2024,10,04
<+q,1,2024,10,04
<+r,2,2024,10,04
<+s,41,2024,10,04
<+t,32,2024,10,04
<+u,2,2024,10,04
<+v,5,2024,10,04
<+z,2,2024,10,04
<^/,18,2024,10,04
<^<!a,3,2024,10,04
<^a,7,2024,10,04
<^c,124,2024,10,04
<^f,4,2024,10,04
<^s,113,2024,10,04
<^v,192,2024,10,04
<^x,20,2024,10,04
<^z,12,2024,10,04
=,8,2024,10,04
Backspace,1400,2024,10,04
Delete,1,2024,10,04
Down,472,2024,10,04
Enter,340,2024,10,04
F22,7,2024,10,04
LAlt,3,2024,10,04
LButton,5499,2024,10,04
LControl,519,2024,10,04
LShift,492,2024,10,04
Left,887,2024,10,04
MButton,2,2024,10,04
Numlock,1,2024,10,04
Numpad4,1,2024,10,04
NumpadAdd,1,2024,10,04
NumpadLeft,4,2024,10,04
PrintScreen,1,2024,10,04
RButton,66,2024,10,04
RShift,1,2024,10,04
Right,1442,2024,10,04
